Customer ID,Recency,Frequency,Monetary,AOV,Tenure,UniqueProducts,CancellationRate,IsQ4Buyer,IsHighValue,IsUK,ChurnProbability,RiskTier,Churned
14255,455,1,1000.63,1000.63,0,1,0.75,0,0,1,0.99273044,High Risk,1
12918,535,1,10953.5,10953.5,0,1,0.6667,0,1,1,0.99244314,High Risk,1
13091,639,2,1976.0,988.0,0,24,0.6311,1,0,1,0.9914004,High Risk,0
15546,516,2,1079.1000000000001,539.5500000000001,0,6,0.3333,0,0,1,0.98734224,High Risk,1
14308,458,2,1147.02,573.51,0,1,0.6,0,0,1,0.9871264,High Risk,1
15760,540,2,13916.34,6958.17,0,1,0.6,0,1,0,0.98581773,High Risk,1
15202,329,3,6001.49,2000.4966666666667,0,1,0.625,1,1,1,0.98552597,High Risk,1
12737,408,2,3710.5,1855.25,0,2,0.0,0,1,0,0.985457,High Risk,1
15941,546,1,405.0,405.0,0,6,0.4,0,0,1,0.98493505,High Risk,1
14244,570,1,366.41999999999996,366.41999999999996,0,16,0.2,0,0,1,0.98461527,High Risk,1
16867,599,1,76.74000000000001,76.74000000000001,0,6,0.0,0,0,1,0.984014,High Risk,1
14928,537,1,223.91000000000003,223.91000000000003,0,21,0.125,0,0,1,0.9833529,High Risk,1
13457,598,2,148.22,74.11,48,9,0.1818,1,0,1,0.9828697,High Risk,1
14328,347,1,445.05,445.05,0,1,0.6667,1,0,1,0.98267037,High Risk,1
12860,602,1,55.47,55.47,0,16,0.0,0,0,1,0.98255986,High Risk,1
13734,418,4,6701.640000000001,1675.4100000000003,94,24,0.0667,0,1,1,0.9825044,High Risk,1
15323,472,3,434.6,144.86666666666667,99,29,0.2162,0,0,1,0.9820572,High Risk,1
14613,589,1,76.32000000000001,76.32000000000001,0,1,0.0,0,0,1,0.9816949,High Risk,1
12568,554,1,70.0,70.0,0,5,0.0,0,0,0,0.9813107,High Risk,1
14832,539,1,322.69,322.69,0,1,0.6667,0,0,1,0.9812377,High Risk,1
13469,562,1,82.4,82.4,0,6,0.0,0,0,1,0.98117435,High Risk,1
18046,559,1,189.63,189.63,0,26,0.0,0,0,1,0.98111856,High Risk,1
18233,235,1,440.0,440.0,0,1,0.0,0,0,1,0.9810253,High Risk,1
